id,timestamp,headline,source,corridor,risk_score,severity,summary,url
EVT_0001,2026-08-20T08:00:00Z,Modi and trump hold phone call as india seeks relief from us tariffs over russian oil trade,LLaMA Ground Truth / India-Russia Trade,Other,2.0,LOW,Talks seeking tariff relief on Russian oil - de-escalatory diplomacy,https://krude.energy/intelligence
EVT_0002,2026-08-20T08:00:00Z,Germany wont take part in us strait of hormuz initiative fm,LLaMA Ground Truth / Hormuz,Hormuz,4.0,MEDIUM,"Germany declines Hormuz naval coalition - weakens chokepoint protection, no incident",https://krude.energy/intelligence
EVT_0003,2026-08-20T08:00:00Z,Houthis continue red sea attacks amid trade traffic surge,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,Ongoing confirmed Houthi attacks on Red Sea shipping,https://krude.energy/intelligence
EVT_0004,2026-08-20T08:00:00Z,Us gov narrative blaming iran for oil tanker attacks falls apart in hours,LLaMA Ground Truth / Tanker Incident,Other,7.0,HIGH,Disputed attribution of confirmed Gulf tanker attacks,https://krude.energy/intelligence
EVT_0005,2026-08-20T08:00:00Z,Jaishankar iran visit red sea attacks agenda houthis gaza israel,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,5.0,HIGH,India-Iran diplomacy with Red Sea attacks on agenda,https://krude.energy/intelligence
EVT_0006,2026-08-20T08:00:00Z,2 oil tankers reportedly attacked near strait hormuz japan tries defuse usiran tensions,LLaMA Ground Truth / Hormuz,Hormuz,9.0,CRITICAL,Multiple tankers attacked at Strait of Hormuz - top-tier chokepoint event,https://krude.energy/intelligence
EVT_0007,2026-08-20T08:00:00Z,Saudi crown prince calls for decisive stand on tanker attacks,LLaMA Ground Truth / Tanker Incident,Other,6.0,HIGH,Saudi escalatory rhetoric after tanker attacks,https://krude.energy/intelligence
EVT_0008,2026-08-20T08:00:00Z,Iran is responsible for tanker attacks in gulf of oman,LLaMA Ground Truth / Tanker Incident,Other,7.0,HIGH,State attribution of Gulf of Oman attacks to Iran,https://krude.energy/intelligence
EVT_0009,2026-08-20T08:00:00Z,Vessel will go to us port legal process will be followed for possession of oil white house on oil tanker seized off venezuelas coast,LLaMA Ground Truth / Tanker Incident,Other,6.0,HIGH,Confirmed tanker seizure off Venezuela - non-India corridor,https://krude.energy/intelligence
EVT_0010,2026-08-20T08:00:00Z,Pentagon releases new photos as proof iran was behind tanker attacks abcid,LLaMA Ground Truth / Tanker Incident,Other,7.0,HIGH,US publishes evidence attributing tanker attacks to Iran,https://krude.energy/intelligence
EVT_0011,2026-08-20T08:00:00Z,Sanctions waiver eases pressure on cape of good hope route,LLaMA Ground Truth / Other Maritime Route,Cape of Good Hope,2.0,LOW,Sanctions waiver eases pressure on Cape route,https://krude.energy/intelligence
EVT_0012,2026-08-20T08:00:00Z,Indias crude oil imports drop to five month low in june,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Routine crude import statistic,https://krude.energy/intelligence
EVT_0013,2026-08-20T08:00:00Z,Maersk s net profit sinks amid red sea attacks,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,6.0,HIGH,Carrier earnings hit confirms sustained Red Sea disruption,https://krude.energy/intelligence
EVT_0014,2026-08-20T08:00:00Z,Asia container demand grows chinese new year approach red sea attacks,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,5.0,HIGH,Container demand shifts under Red Sea disruption,https://krude.energy/intelligence
EVT_0015,2026-08-20T08:00:00Z,Will keep massive tariffs on india until russian oil import stops trump,LLaMA Ground Truth / India-Russia Trade,Other,5.0,HIGH,Tariff coercion tied directly to Russian oil imports,https://krude.energy/intelligence
EVT_0016,2026-08-20T08:00:00Z,Us urges g7 eu to impose tariffs on china india over russian oil purchases,LLaMA Ground Truth / India-Russia Trade,Other,5.0,HIGH,US pushing G7/EU tariffs over Russian oil purchases,https://krude.energy/intelligence
EVT_0017,2026-08-20T08:00:00Z,India not buying oil from iran after us waivers expired envoy,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,Confirms India ended Iranian crude after waiver expiry,https://krude.energy/intelligence
EVT_0018,2026-08-20T08:00:00Z,Egyptian navy takes seized suezmax into terminal,LLaMA Ground Truth / Suez,Suez,6.0,HIGH,Egyptian navy takes seized suezmax under control - enforcement near Suez,https://krude.energy/intelligence
EVT_0019,2026-08-20T08:00:00Z,The suez canal a vital shipping artery blocked by lodged ship,LLaMA Ground Truth / Suez,Suez,9.0,CRITICAL,Suez Canal physically blocked - corridor closure,https://krude.energy/intelligence
EVT_0020,2026-08-20T08:00:00Z,Companies suspend transit through red sea as yemens ansarallah attack two more ships,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,9.0,CRITICAL,Carriers suspending Red Sea transit plus fresh attacks on two ships,https://krude.energy/intelligence
EVT_0021,2026-08-20T08:00:00Z,British military warns of possible vessel being boarded near strait of hormuz,LLaMA Ground Truth / Hormuz,Hormuz,7.0,HIGH,UK military warns of imminent boarding near Hormuz,https://krude.energy/intelligence
EVT_0022,2026-08-20T08:00:00Z,India s russian oil imports rise in february ship tracking data,LLaMA Ground Truth / India-Russia Trade,Other,3.0,MEDIUM,Ship-tracking import statistic,https://krude.energy/intelligence
EVT_0023,2026-08-20T08:00:00Z,Indias imports of russian oil could jump by 50 if west imposes price cap expert says,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,Analyst view on price-cap effect on Indian imports,https://krude.energy/intelligence
EVT_0024,2026-08-20T08:00:00Z,Breaking oman oil tanker attack,LLaMA Ground Truth / Tanker Incident,Hormuz,8.0,CRITICAL,"Confirmed tanker attack, Gulf of Oman",https://krude.energy/intelligence
EVT_0025,2026-08-20T08:00:00Z,Indian oil bpcl hpcl to take a hit due to soaring crude prices moodys,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,Crude price pass-through to Indian refiners,https://krude.energy/intelligence
EVT_0026,2026-08-20T08:00:00Z,Russia top supplier of oil in india makes 40 of indian oil imports,LLaMA Ground Truth / India-Russia Trade,Other,3.0,MEDIUM,Supplier-share statistic (concentration context),https://krude.energy/intelligence
EVT_0027,2026-08-20T08:00:00Z,Israel linked tanker seized off yemen in third such assault,LLaMA Ground Truth / Tanker Incident,Bab-el-Mandeb,8.0,CRITICAL,Third tanker seizure off Yemen - confirmed corridor incident,https://krude.energy/intelligence
EVT_0028,2026-08-20T08:00:00Z,India us trump russia oil intl hnk,LLaMA Ground Truth / India-Russia Trade,Other,3.0,MEDIUM,"Fragmentary India-US-Russia oil tag, no clear signal",https://krude.energy/intelligence
EVT_0029,2026-08-20T08:00:00Z,.uk part international coalition protect red sea ships attack,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,7.0,HIGH,International naval coalition formed to protect Red Sea shipping,https://krude.energy/intelligence
