month,country,volume_kbd
2024-04,Russia,1834.83
2024-04,Iraq,1048.48
2024-04,Saudi Arabia,681.51
2024-04,UAE,471.81
2024-04,USA,220.18
2024-04,Kuwait,131.06
2024-04,Nigeria,104.85
2024-04,Oman,62.91
2024-04,Angola,73.39
2024-04,Venezuela,62.91
2024-04,Brazil,20.97
2024-04,Other Suppliers,529.48
2024-05,Russia,1878.26
2024-05,Iraq,1043.48
2024-05,Saudi Arabia,678.26
2024-05,UAE,500.87
2024-05,USA,229.56
2024-05,Kuwait,125.22
2024-05,Nigeria,120.0
2024-05,Oman,52.17
2024-05,Angola,62.61
2024-05,Venezuela,41.74
2024-05,Brazil,26.09
2024-05,Other Suppliers,459.13
2024-06,Russia,2044.12
2024-06,Iraq,874.74
2024-06,Saudi Arabia,552.47
2024-06,UAE,423.56
2024-06,USA,207.17
2024-06,Kuwait,101.29
2024-06,Nigeria,96.68
2024-06,Oman,41.43
2024-06,Angola,46.04
2024-06,Venezuela,13.81
2024-06,Brazil,18.42
2024-06,Other Suppliers,184.16
2024-07,Russia,2070.16
2024-07,Iraq,736.06
2024-07,Saudi Arabia,506.04
2024-07,UAE,432.43
2024-07,USA,253.02
2024-07,Kuwait,73.61
2024-07,Nigeria,110.41
2024-07,Oman,36.8
2024-07,Angola,41.4
2024-07,Venezuela,0.0
2024-07,Brazil,23.0
2024-07,Other Suppliers,317.43
2024-08,Russia,1913.28
2024-08,Iraq,908.81
2024-08,Saudi Arabia,573.98
2024-08,UAE,468.75
2024-08,USA,229.59
2024-08,Kuwait,95.66
2024-08,Nigeria,105.23
2024-08,Oman,52.62
2024-08,Angola,52.62
2024-08,Venezuela,0.0
2024-08,Brazil,19.13
2024-08,Other Suppliers,363.52
2024-09,Russia,1472.12
2024-09,Iraq,966.08
2024-09,Saudi Arabia,598.05
2024-09,UAE,418.63
2024-09,USA,211.62
2024-09,Kuwait,119.61
2024-09,Nigeria,92.01
2024-09,Oman,59.8
2024-09,Angola,69.01
2024-09,Venezuela,0.0
2024-09,Brazil,27.6
2024-09,Other Suppliers,565.85
2024-10,Russia,1559.1
2024-10,Iraq,992.15
2024-10,Saudi Arabia,614.19
2024-10,UAE,448.83
2024-10,USA,212.6
2024-10,Kuwait,132.29
2024-10,Nigeria,108.66
2024-10,Oman,56.69
2024-10,Angola,61.42
2024-10,Venezuela,0.0
2024-10,Brazil,23.62
2024-10,Other Suppliers,514.97
2024-11,Russia,1577.41
2024-11,Iraq,974.28
2024-11,Saudi Arabia,603.13
2024-11,UAE,450.03
2024-11,USA,204.14
2024-11,Kuwait,125.26
2024-11,Nigeria,102.07
2024-11,Oman,46.39
2024-11,Angola,55.67
2024-11,Venezuela,0.0
2024-11,Brazil,27.84
2024-11,Other Suppliers,473.22
2024-12,Russia,1818.29
2024-12,Iraq,957.0
2024-12,Saudi Arabia,622.05
2024-12,UAE,445.0
2024-12,USA,215.33
2024-12,Kuwait,119.63
2024-12,Nigeria,110.05
2024-12,Oman,52.64
2024-12,Angola,66.99
2024-12,Venezuela,0.0
2024-12,Brazil,23.93
2024-12,Other Suppliers,354.09
2025-01,Russia,1660.11
2025-01,Iraq,1056.43
2025-01,Saudi Arabia,704.29
2025-01,UAE,477.91
2025-01,USA,241.47
2025-01,Kuwait,120.74
2025-01,Nigeria,120.74
2025-01,Oman,65.4
2025-01,Angola,80.49
2025-01,Venezuela,0.0
2025-01,Brazil,35.21
2025-01,Other Suppliers,467.85
2025-02,Russia,1519.41
2025-02,Iraq,1114.24
2025-02,Saudi Arabia,709.06
2025-02,UAE,506.47
2025-02,USA,263.37
