month,fiscal_year,Russia,Iraq,Saudi Arabia,UAE,USA,Kuwait,Nigeria,Oman,Angola,Venezuela,Brazil,Listed total,Others residual,India domestic,Total supply
Apr-2024,FY25,55044.9,31454.3,20445.3,14154.4,6605.4,3931.8,3145.4,1887.3,2201.8,1887.3,629.1,141387,15884.4,17464,174735.3
May-2024,FY25,58226.2,32347.9,21026.1,15527,7116.5,3881.7,3720,1617.4,1940.9,1293.9,808.7,147506.3,14233.1,18056,179795.5
Jun-2024,FY25,61323.7,26242.1,16574,12706.7,6215.2,3038.6,2900.4,1243,1381.2,414.3,552.5,132591.7,5524.7,17316,155432.4
Jul-2024,FY25,64175,22817.8,15687.2,13405.4,7843.6,2281.8,3422.7,1140.9,1283.5,0,713.1,132771,9840.2,17760,160371
Aug-2024,FY25,59311.8,28173.1,17793.5,14531.4,7117.4,2965.6,3262.1,1631.1,1631.1,0,593.1,137010.2,11269.2,17760,166039.4
Sep-2024,FY25,44163.6,28982.4,17941.5,12559,6348.5,3588.3,2760.2,1794.1,2070.2,0,828.1,121035.9,16975.4,17020,155031.4
Oct-2024,FY25,48332.1,30756.8,19039.9,13913.8,6590.7,4100.9,3368.6,1757.5,1904,0,732.3,130496.6,15964.2,18130,164590.9
Nov-2024,FY25,47322.3,29228.5,18093.8,13500.8,6124.1,3757.9,3062,1391.8,1670.2,0,835.1,124986.5,14196.7,17464,156647.2
Dec-2024,FY25,56367.1,29666.9,19283.5,13795.1,6675.1,3708.4,3411.7,1631.7,2076.7,0,741.7,137357.9,10976.7,18130,166464.5
Jan-2025,FY25,51463.3,32749.4,21832.9,14815.2,7485.6,3742.8,3742.8,2027.3,2495.2,0,1091.6,141446.1,14503.3,18204,174153.3
Feb-2025,FY25,42923.4,31477.2,20030.9,14307.8,7440.1,3720,3720,2146.2,2575.4,0,1144.6,129485.6,13592.4,16428,159506
Mar-2025,FY25,48603,36871.2,21787.5,17094.8,9217.8,4692.7,4692.7,2346.4,2849.1,0,1508.4,149663.6,17932.8,18648,186244.5
Apr-2025,FY26,47830.4,27772.5,20057.9,15120.6,7714.6,4011.6,4474.5,2468.7,2314.4,0,1234.3,132999.5,21292.3,17020,171311.8
May-2025,FY26,45492.5,29805.4,21961.9,16000.8,8627.9,4392.4,4863,2823.7,2039.3,0,1411.8,137418.7,19452,17612,174482.7
Jun-2025,FY26,50815.8,25407.9,19429.6,14945.8,9714.8,3736.5,4782.7,2241.9,1793.5,0,1494.6,134363.1,15095.3,16872,166330.1
Jul-2025,FY26,61160.2,23630.1,16680,15012,9730,3336,4587,1946,1529,0,695,138305.3,695,17316,156316.4
Aug-2025,FY26,54930.7,23128.7,20237.6,20237.6,11564.4,3758.4,4914.9,2457.4,2023.8,0,578.2,143831.7,722.8,17316,161870.4
Sep-2025,FY26,46156.6,26800.6,22333.8,16378.1,13400.3,4466.8,4913.4,2977.8,2680.1,0,1786.7,141894.2,6997.9,16650,165542.1
Oct-2025,FY26,41801.7,29416,24771.4,17340,14708,4954.3,5418.7,3406.1,3096.4,0,2012.7,146925.3,7895.9,17020,171841
Nov-2025,FY26,34456.7,31324.3,28191.9,18011.5,16445.3,5481.8,5325.1,3758.9,3445.7,0,2192.7,148633.9,7987.7,17020,173641.6
Dec-2025,FY26,43602.1,27052.4,27052.4,17504.5,15913.2,6365.3,5728.7,4137.4,3819.2,318.3,2387,153880.5,5251.3,17686,176817.7
Jan-2026,FY26,34844.5,29555.6,31111.1,17111.1,17111.1,7777.8,5911.1,4666.7,4355.6,622.2,777.8,153844.6,1711.1,17760,173315.7
Feb-2026,FY26,32638,19286.1,31154.4,14835.5,15577.2,17654.2,6676,4450.6,2967.1,741.8,741.8,146722.7,1631.9,16058,164412.5
Mar-2026,FY26,71366.5,5709.3,11418.6,7136.7,15700.6,2854.7,8564,5709.3,8564,713.7,2141,139878.4,2854.7,18870,161603
Apr-2026,FY27,70595.2,0,6788,8145.6,13576,0,8145.6,6788,9503.2,2715.2,5430.4,131687.2,4072.8,16724,152484
May-2026,FY27,68735.7,0,11538.4,13186.7,18131.7,0,9065.9,8241.7,9890,5769.2,7417.5,151976.8,12857,17242,182075.7
Jun-2026,FY27,75365.1,0,6029.2,10048.7,11484.2,0,5742.1,5742.1,7177.6,6603.4,5742.1,133934.5,9618,16650,160202.6
Jul-2026,FY27,86861.6,4069.2,12990.1,14242.2,3912.7,1565.1,3286.7,5477.8,1252.1,7199.3,5790.8,146647.6,9860,17168,173675.4
